ID;species;type;target
P56955;Bacillus thuringiensis;Unknown;Non-Vertebrate
P56956;Bacillus thuringiensis;Unknown;Non-Vertebrate
P56957;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45743;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q9XDL1;Bacillus thuringiensis;Unknown;Non-Vertebrate
O85805;Bacillus thuringiensis;Unknown;Non-Vertebrate
P96315;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q939T0;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q9RMG3;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q9S515;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45712;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45755;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q939S9;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45746;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45738;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q03749;Bacillus thuringiensis;Unknown;Non-Vertebrate
P06575;Lysinibacillus sphaericus;Unknown;Non-Vertebrate
P57091;Paenibacillus popilliae;Unknown;Non-Vertebrate
Q45358;Paenibacillus popilliae;Unknown;Non-Vertebrate
P57092;Paenibacillus popilliae;Unknown;Non-Vertebrate
Q45882;Paraclostridium bifermentans;Unknown;Non-Vertebrate
O05102;Paraclostridium bifermentans;Unknown;Non-Vertebrate
Q04470;Bacillus thuringiensis;Unknown;Non-Vertebrate
P0A382;Bacillus thuringiensis;Unknown;Non-Vertebrate
P0A383;Bacillus thuringiensis;Unknown;Non-Vertebrate
P94594;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45723;Bacillus thuringiensis;Unknown;Non-Vertebrate
C7BKP9;Photorhabdus asymbiotica;Unknown;Non-Vertebrate
C7BKP9;Photorhabdus asymbiotica;Unknown;Vertebrate
O32322;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45790;Bacillus thuringiensis;Unknown;Non-Vertebrate
N1LT74;Bacillus sp.;Unknown;Non-Vertebrate
N1LIK5;Bacillus sp.;Unknown;Non-Vertebrate
A0A433LTT9;Bacillus sp.;Unknown;Non-Vertebrate
Q1I8U1;Pseudomonas entomophila;Unknown;Non-Vertebrate
F0V195;Vibrio nigripulchritudo;Unknown;Non-Vertebrate
Q9F9Z2;Serratia entomophila;Unknown;Non-Vertebrate
D5FW92;Serratia proteamaculans;Unknown;Non-Vertebrate
B6A880;Yersinia entomophaga;Unknown;Non-Vertebrate
P39798;Bacillus subtilis;Unknown;Non-Vertebrate
D3UYN1;Xenorhabdus bovienii;Unknown;Non-Vertebrate
A0A0R4FRR9;Xenorhabdus nematophila;Unknown;Non-Vertebrate
A0A068QWU7;Xenorhabdus doucetiae;Unknown;Non-Vertebrate
A0A068QYK9;Xenorhabdus poinarii;Unknown;Non-Vertebrate
N1NTT4;Xenorhabdus nematophila;Unknown;Non-Vertebrate
W1J5H1;Xenorhabdus szentirmaii;Unknown;Non-Vertebrate
D3VB22;Xenorhabdus nematophila;Unknown;Non-Vertebrate
Q84H14;Photorhabdus luminescens;Unknown;Non-Vertebrate
Q7N0V1;Photorhabdus laumondii;Unknown;Non-Vertebrate
B6VK49;Photorhabdus asymbiotica;Unknown;Non-Vertebrate
A0A0R4FQ94;Xenorhabdus nematophila;Unknown;Non-Vertebrate
AAR21118.1;Photorhabdus luminescens;Unknown;Non-Vertebrate
ABY91230.2;Pseudomonas protegens;Unknown;Non-Vertebrate
WP_154581617.1;Chlamydia trachomatis;TypeII_PFT_bacteria;Non-Vertebrate
QGS36096.1;Aerococcus viridans;TypeII_PFT_bacteria;Non-Vertebrate
WP_003646471.1;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
AAO18426.1;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
WP_003643800.1;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
WP_023098797.1;Pseudomonas;TypeII_PFT_bacteria;Non-Vertebrate
P0C077;Escherichia coli;Unknown;Non-Vertebrate
P64524;Escherichia coli;Unknown;Non-Vertebrate
P0AE70;Escherichia coli;Unknown;Non-Vertebrate
Q46865;Escherichia coli;Unknown;Non-Vertebrate
Q47149;Escherichia coli;Unknown;Non-Vertebrate
P9WF09;Mycobacterium tuberculosis;Unknown;Non-Vertebrate
P23874;Escherichia coli;Unknown;Non-Vertebrate
I1WVY3;Burkholderia pseudomallei;Unknown;Non-Vertebrate
Q8EIX3;Shewanella oneidensis;Unknown;Non-Vertebrate
Q97QZ1;Streptococcus pneumoniae;Unknown;Non-Vertebrate
P33647;Escherichia coli;Unknown;Non-Vertebrate
P69348;Escherichia coli;Unknown;Non-Vertebrate
B8X8Z0;Pectobacterium atrosepticum;Unknown;Non-Vertebrate
Q7A225;Proteus vulgaris;Unknown;Non-Vertebrate
P96622;Bacillus subtilis;Unknown;Non-Vertebrate
O34344;Bacillus subtilis;Unknown;Non-Vertebrate
Q4QNL7;Haemophilus influenzae;Unknown;Non-Vertebrate
P9WLP9;Mycobacterium tuberculosis;Unknown;Non-Vertebrate
Q07833;Bacillus subtilis;Unknown;Non-Vertebrate
A0A0C5XL88;Sphingobium sp.;Unknown;Non-Vertebrate
Q54944;Streptococcus pyogenes;Unknown;Non-Vertebrate
P0AGL5;Escherichia coli;Unknown;Non-Vertebrate
O34853;Bacillus subtilis;Unknown;Non-Vertebrate
Q47157;Escherichia coli;Unknown;Non-Vertebrate
P64646;Escherichia coli;Unknown;Non-Vertebrate
Q9I739;Pseudomonas aeruginosa;Type_III;Non-Vertebrate
Q79EC5;Escherichia coli;Unknown;Non-Vertebrate
P64453;Escherichia coli;Unknown;Non-Vertebrate
B6A878;Yersinia entomophaga;Unknown;Non-Vertebrate
D5CBA0;Enterobacter cloacae;Unknown;Non-Vertebrate
P52129;Escherichia coli;Unknown;Non-Vertebrate
Q9ZJ19;Lactococcus lactis;Unknown;Non-Vertebrate
Q9HYC5;Pseudomonas aeruginosa;TypeIII_controlToxin;Non-Vertebrate
H9T8G6;Burkholderia pseudomallei;Unknown;Non-Vertebrate
P05516;Lysinibacillus sphaericus;Unknown;Non-Vertebrate
A0A0H3CC30;Caulobacter vibrioides;Unknown;Non-Vertebrate
A0A0H3KDT7;Staphylococcus aureus;Unknown;Non-Vertebrate
Q4UNB2;Rickettsia felis;Unknown;Non-Vertebrate
Q9KNE5;Vibrio cholerae;Type_III;Non-Vertebrate
Q7N8B1;Photorhabdus laumondii;Unknown;Non-Vertebrate
Q7N8B1;Photorhabdus laumondii;Unknown;Vertebrate
Q79LY0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZX82;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZMD6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q52430;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48DU8;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48B61;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q2QCI9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
YP_025680.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ZP_05639859.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ZP_06481941.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ACU65043.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ACU65060.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ACU65062.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
ACY60554.1;Yersinia pestis;TypeIII;Vertebrate
AAF71481.2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
AAP31245.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
AAT35179.1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q6LAD6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q7PC62;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87W65;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q887D0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q888Y8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RK06;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q8RK07;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q8RK09;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q8RK12;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q8RP04;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RP17;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RSY1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9F3T6;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q9RBW3;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q4K5B7;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q4KC90;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q9I0E0;Pseudomonas aeruginosa;Type_III;Non-Vertebrate
Q9I0E0;Pseudomonas aeruginosa;Type_III;Vertebrate
Q9I0F4;Pseudomonas aeruginosa;TypeIII_controlToxin;Non-Vertebrate
Q9I2Q1;Pseudomonas aeruginosa;TypeIII_controlToxin;Non-Vertebrate
Q9I3K2;Pseudomonas aeruginosa;TypeIII_controlToxin;Non-Vertebrate
A0FDW2;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
A0FDW6;Pseudomonas coronafaciens;TypeIII_controlToxin;Non-Vertebrate
A0FDW7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0FDW8;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
A0FDX1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A2BCU8;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
A3QQZ4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A3QQZ7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A3QQZ8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A3QQZ9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A3QR00;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A3QR01;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
C8BNV1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
C8BNW8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
E5G0U5;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
E7PH30;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
E7PJ45;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
E7PKT3;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
E7PKW2;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
E7PLP1;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
E7PP21;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
A0A656G4D5;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
A0A656GG29;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
A0A656GNA3;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3FCB6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3FD33;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3FD38;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3FD65;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G1H5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G207;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G208;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G242;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G248;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3G4A3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3GCB9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3GEH5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3GEX7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656GRZ5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656GSU4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656GSX5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656H0U7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656H641;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656H5T7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656H7M6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656H7U2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HEG0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HEG5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HEJ8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HH80;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HH81;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HH82;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HM16;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HNN9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HPT6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HQV5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HQV6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3HV48;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
F3ICX9;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IDL2;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IDS2;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IDS7;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IHD9;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IJ53;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IJD5;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IJD6;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3INB8;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3INY7;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3INZ6;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IP81;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IP82;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IP83;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IRM5;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
F3IRM7;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
G3XDB9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
G9I6Y2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8A5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8A6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8A7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8A8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8A9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
I1V8B0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9B3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9B7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9E2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9R7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9V0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9V5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9W3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7I9W8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IA88;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IDH5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IDX1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IE52;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IG74;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IG80;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IGK1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IGZ7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IHF0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IHF5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
J7IHN8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
O30529;Pseudomonas aeruginosa;TypeIII_controlToxin;Non-Vertebrate
O85094;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
O87327;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
O87653;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
P11437;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
P13835;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
P35674;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q08242;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q08370;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q08678;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q48B68;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48B92;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48BC6;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48BE0;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48DQ9;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48M17;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q48M45;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q4K3N3;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q4K3N4;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q4K3N5;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q4K3N9;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q4ZNB6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZP52;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZV89;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZX47;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZX48;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZX80;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZX85;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZXP9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q4ZYH0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q52394;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q52420;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q52432;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q52473;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q52480;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q52481;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q52530;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q52537;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q5DI80;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q5EN61;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q60235;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q60236;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q6J2E6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q7BE94;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q7BM43;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q7PC42;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q7PC45;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q83YM3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q83YM6;Pseudomonas amygdali;TypeIII_controlToxin;Non-Vertebrate
Q83YN7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
